Chinese	Nushu	Book Reference Pg		Our label 	Key		
无丝竹之乱耳无案牍之劳形	𛇯𛊸𛊶𛆷𛋈𛅺𛇯𛈕𛋥𛆷𛈰𛊁	50		2			
南阳诸葛庐西蜀子云亭	𛉺𛈿𛊵𛇵𛋗𛈨𛋱𛆑𛉍𛊭	50		1			
孔子云何陋之有	𛈋𛆑𛉍𛇮𛋝𛆷𛈶	50		2			
岱宗夫如何齐鲁青未了	𛅻𛈉𛆔𛇄𛇮𛉑𛋗𛊭𛆨𛅹	51		1			
造化钟神秀阴阳割昏晓	𛊪𛅽𛈌𛋙𛋜𛆱𛈿𛇵𛆙𛆿	51		1			
荡胸生曾云决眦入归鸟	𛉻𛉶𛇏𛋳𛉍𛊐𛆑𛇈𛈘𛋒	51		1			
会当凌绝顶一览众山小	𛋶𛉰𛆨𛋔𛉼𛆼𛉻𛊪𛇏𛅿	51		2			
晨起动征铎客行悲故乡	𛈒𛆻𛆒𛆭𛈁𛊙𛇐𛊰𛉘𛉶	52		0			
鸡声茅店月人迹板桥霜	𛋔𛉂𛋓𛇙𛇃𛅳𛉓𛉎𛊻𛈊	52		1			
槲叶落山路枳花明驿墙	𛋘𛆱𛋝𛇏𛋗𛆑𛈣𛇾𛆼𛈽	52		0			
因思杜陵梦凫雁满回塘	𛆱𛊸𛋥𛉹𛋪𛇼𛊂𛋪𛇳𛊤	52		2			
一曲新诗酒一杯去年天气旧亭台	𛆼𛆶𛊛𛆹𛊟𛆼𛇲𛇂𛆥𛆤𛇬𛆝𛊭𛅻	54		1			
夕阳西下几时回	𛅿𛈿𛈨𛅽𛆺𛆸𛇳	54		0			
无可奈何花落去似曾相识燕归来	𛇯𛆄𛉈𛇮𛈣𛋝𛇂𛊝𛋳𛉵𛊗𛊂𛈘𛇤	54		0			
小园香径独徘回	𛅿𛆧𛉶𛋳𛋥𛉆𛇳	54		1			
飞来山上千寻塔闻说鸡鸣见日升	𛆌𛇤𛇏𛆈𛆉𛋳𛊔𛇷𛋶𛋔𛇾𛇝𛇈𛈛	55		1			
不畏浮云遮望眼自缘身在最高层	𛆳𛆨𛊘𛉍𛊵𛈈𛋵𛈤𛆧𛈛𛇥𛊶𛋂𛋳	55		2			
莫笑农家腊酒浑丰年留客足鸡猪	𛋖𛅿𛉺𛉊𛋗𛊟𛆙𛆠𛆥𛇋𛊙𛇭𛋔𛆽	56		2			
山重水复疑无路柳暗花明又一村	𛇏𛈯𛅸𛋷𛅺𛇯𛋗𛇋𛈕𛈣𛇾𛇁𛆼𛊌	56		2			
箫鼓追随春社近衣冠简朴古风存	𛈨𛇰𛊶𛉅𛊌𛊍𛊝𛈡𛇕𛊜𛉖𛇰𛋆𛊶	56		2			
从今若许闲乘月拄杖无时夜叩门	𛋳𛆭𛇁𛋱𛇐𛋙𛇃𛉙𛈼𛇯𛆸𛇩𛆣𛇷	56		1			
东临碣石以观沧海	𛊚𛇇𛋓𛊍𛆱𛇕𛉱𛉝	57		1			
水何澹澹山岛竦峙	𛅸𛇮𛉻𛉻𛇏𛇼𛉡𛊝	57		1			
树木丛生百草丰茂	𛋙𛇀𛋳𛇏𛇫𛉤𛆠𛊨	57		1			
秋风萧瑟洪波涌起	𛉩𛋆𛈨𛇴𛉢𛉖𛈍𛆻	57		1			
日月之行若出其中	𛇈𛇃𛆷𛇐𛇁𛈚𛊻𛈌	57		1			
星汉灿烂若出其里	𛉾𛊧𛉱𛋈𛇁𛈚𛆦𛊻	57		1			
幸甚至哉歌以咏志	𛊮𛋐𛊝𛊳𛋰𛆱𛋟𛊝	57		2			
结庐在人境而无车马喧	𛊐𛋗𛇥𛅳𛇝𛇈𛇯𛊌𛇀𛋘	58		1			
问君何能尔心远地自偏	𛋆𛊵𛇮𛈷𛇈𛇹𛋟𛊤𛈤𛇙	58		1			
采菊东篱下忧然见南山	𛇦𛊐𛊚𛊎𛅽𛋍𛋋𛇝𛉺𛇏	58		2			
山气日夕佳飞鸟相与还	𛇏𛇬𛇈𛋮𛉊𛆌𛋒𛉵𛆱𛇐	58		2			
此中有真意欲辨已忘言	𛇠𛈌𛈶𛆭𛆱𛇄𛆦𛆱𛈈𛈔	58		2			
日照香炉生紫烟遥看瀑布挂前川	𛇈𛉓𛉶𛋗𛇏𛆑𛊫𛊺𛆣𛉖𛉖𛉌𛋋𛊯	59		1			
飞流直下三千尺疑是银河落九天	𛆌𛇋𛋔𛅽𛆊𛆉𛅼𛅺𛆹𛆰𛊕𛋝𛆆𛆤	59		1			
君问归期未有期巴山夜雨涨秋池	𛊵𛉟𛈘𛊻𛆨𛈶𛊻𛊰𛇏𛇩𛇯𛈌𛉩𛋣	60		0			
何当共剪西窗烛却话巴山夜雨时	𛇮𛉰𛈌𛊜𛈨𛉱𛅼𛅼𛋶𛊰𛇏𛇩𛇯𛆸	60		0			
相见时难别亦难东风无力百花残	𛉵𛇝𛆸𛈷𛊎𛇁𛈷𛊚𛋆𛇯𛅹𛇫𛈣𛉒	61		0			
春蚕到死丝方尽蜡炬成灰泪始干	𛊌𛋳𛇼𛊅𛊸𛆠𛈯𛉑𛊐𛈒𛆌𛇟𛇴𛇕	61		0			
晓镜但愁云鬓改夜吟应觉月光寒	𛆿𛇆𛉻𛊝𛉍𛇇𛊿𛇩𛆰𛊉𛉫𛇃𛇕𛊨	61		0			
蓬山此去无多路青鸟殷勤为探看	𛊘𛇏𛇠𛇂𛇯𛈁𛋗𛊭𛋒𛆱𛊝𛊄𛋃𛆣	61		1			
无言独上西楼月如钩	𛇯𛈔𛋥𛆈𛈨𛈰𛇃𛇄𛋂	62		0			
寂寞梧桐深院锁清秋	𛋔𛇀𛇯𛆒𛈛𛈇𛈂𛊭𛉩	62		0			
剪不断理还乱是离愁	𛊜𛆳𛋇𛉄𛇐𛋈𛆹𛊎𛊝	62		0			
别是一般滋味在心头	𛊎𛆹𛆼𛈺𛈤𛆨𛇥𛇹𛇊	62		0			
红豆生南国春来发几枝	𛉢𛋛𛇏𛉺𛈅𛊌𛇤𛆐𛆺𛈤	63, 74		1			
愿君多采撷此物最相思	𛋟𛊵𛈁𛇦𛊐𛇠𛇵𛊶𛉵𛊸	63, 74		2			
春眠不觉晓处处闻啼鸟	𛊌𛊬𛆳𛉫𛆿𛈫𛈫𛇷𛊹𛋒	65, 94		1			
夜来风雨声花落知多少	𛇩𛇤𛋆𛇯𛉂𛈣𛋝𛆍𛈁𛆿	65, 94		1			
白日不到处青春恰自来	𛇪𛇈𛆳𛇼𛈫𛊭𛊌𛆞𛈤𛇤	66		2			
苔花如米小也学牡丹开	𛅻𛈣𛇄𛉟𛅿𛇁𛉬𛇀𛈁𛇶	66		2			
敕勒川阴山下	𛆣𛋀𛊯𛆱𛇏𛅽	67		1			
天似穹庐笼盖四野	𛆤𛊝𛊝𛋗𛇧𛇧𛈗𛇩	67		1			
天苍苍野茫茫风吹草低见牛羊	𛆤𛉱𛉱𛇩𛇓𛇓𛋆𛆪𛉤𛅾𛇝𛊞𛈿	67		1			
江南好风景旧曾谙	𛈌𛉺𛆚𛆠𛇆𛆝𛋳𛈕	68		2			
日出江花红胜火春来江水绿如蓝	𛇈𛈚𛈌𛈣𛉢𛋐𛆕𛊌𛇤𛈌𛅸𛆽𛇄𛋂	68		2			
能不忆江南	𛈷𛆳𛆱𛈌𛉺	68		2			
胜日寻芳泗水滨无边光景一时新	𛋐𛇈𛊶𛆠𛈨𛅸𛋆𛇯𛇙𛇕𛇆𛆼𛆸𛊛	69		2			
等闲识得东风面万紫千红总是春	𛉠𛇐𛊗𛋀𛊚𛋆𛋉𛈄𛆑𛆉𛉢𛉋𛆹𛊌	69		2			
秦时明月汉时关万里长征人未还	𛉒𛆸𛇾𛇃𛊧𛆸𛇕𛈄𛉄𛈽𛆭𛅳𛆨𛇐	70		0			
但使龙城飞将在不教胡马度阴山	𛉻𛇴𛉴𛈒𛆌𛈼𛇥𛆳𛆝𛋘𛇀𛋥𛆱𛇏	70		0			
横看成岭侧成峰远近高低各不同	𛊄𛆣𛈒𛉼𛆹𛈒𛆠𛋟𛊝𛋂𛅾𛉦𛆳𛊤	71		1			
不识庐山真面目只缘身在此山中	𛆳𛊗𛋗𛇏𛆭𛋉𛇀𛈤𛆧𛈛𛇥𛇠𛇏𛈌	71		1			
我家洗砚池头树朵朵花开淡墨痕	𛈻𛉊𛅿𛈏𛋣𛇊𛋙𛉸𛉸𛈣𛇶𛋠𛋉𛇐	72		1			
不要人夸好颜色只留清气满乾坤	𛆳𛅺𛅳𛆣𛆚𛈕𛇴𛈤𛇋𛊭𛇬𛋪𛈆𛉋	72		2			
滚滚长江东逝水浪花淘尽英雄	𛈅𛈅𛈽𛈌𛊚𛆓𛅸𛋈𛈣𛇊𛈯𛊣𛈾	73		0			
是非成败转头空	𛆹𛆌𛈒𛇣𛇆𛇊𛉲	73		0			
青山依旧在几度夕阳红	𛊭𛇏𛆱𛆝𛇥𛆺𛋥𛅿𛈿𛉢	73		0			
白发渔樵江渚上惯看秋月春风	𛇪𛆐𛊢𛇭𛈌𛉙𛆈𛇕𛆣𛉩𛇃𛊌𛋆	73		1			
一壶浊酒喜相逢	𛆼𛋘𛈱𛆆𛆻𛉵𛊘	73		2			
古今多少事都付笑谈中	𛇰𛆭𛈁𛆿𛅵𛋗𛆖𛅿𛊤𛈌	73		1			
枯藤老树昏鸦小桥流水人家古道西风瘦马	𛇰𛆒𛇽𛋙𛆙𛆼𛅿𛊻𛇋𛅸𛅳𛉊𛇰𛋛𛈨𛋆𛈗𛇀	75		0			
夕阳西下断肠人在天涯	𛅿𛈿𛈨𛅽𛋇𛊻𛅳𛇥𛆤𛊢	75		0			
大江东去浪淘尽千古风流人物	𛅻𛈌𛊚𛇂𛋈𛇊𛈯𛆉𛇰𛆠𛇋𛅳𛇵	76		1			
故垒西边人道是三国周郎赤壁	𛉘𛆇𛈨𛇙𛅳𛋛𛆹𛆊𛈅𛆝𛊥𛇎𛉎	76		1			
乱石穿空惊涛拍岸卷起千堆雪	𛋈𛊍𛊯𛉲𛋭𛉤𛇲𛈀𛉉𛆻𛆉𛆬𛊗	76		1			
江山如画一时多少豪杰	𛈌𛇏𛇄𛋶𛆼𛆸𛈁𛆿𛇮𛋓	76		2			
遥想公瑾当年小乔初嫁了雄姿英发	𛉖𛊩𛇕𛇝𛉰𛆥𛅿𛊻𛊾𛉌𛅹𛈾𛈤𛊣𛆐	76		1			
羽扇纶巾谈笑间樯橹灰飞烟灭	𛅷𛋌𛇕𛆭𛊤𛅿𛆃𛈽𛆽𛆌𛆌𛊫𛋆	76		2			
故国神游多情应笑我早生华发	𛉘𛈅𛋙𛊢𛈁𛊭𛊉𛅿𛈻𛈖𛇏𛇳𛆐	76		1			
人生如梦一尊还酹江月	𛅳𛇏𛇄𛋪𛆼𛊵𛇐𛇟𛈌𛇃	76		2			
冷冷清清凄凄惨惨	𛉼𛉼𛊭𛊭𛋴𛋴𛉒𛉒	78		0			
乍暖还寒时候最难将息	𛉑𛈾𛇐𛊨𛆸𛋄𛊶𛈷𛈼𛅿	78		0			
三杯两盏淡酒怎敌他晚来风急	𛆊𛇲𛅱𛈖𛋠𛊟𛋩𛋮𛆶𛈈𛇤𛋆𛊐	78		0			
雁过也正伤心却是旧时相识	𛊂𛉘𛇁𛇆𛉶𛇹𛅼𛆹𛆝𛆸𛉵𛊗	78		0			
满地黄花堆积憔悴损如今有谁堪摘	𛋪𛊤𛊨𛈣𛆬𛊈𛆞𛇂𛉝𛇄𛆭𛈶𛉅𛉲𛋓	78		0			
守着窗儿独自怎生得黑	𛆞𛊖𛉱𛇈𛋥𛈤𛋩𛇏𛋀𛋚	78		0			
梧桐更兼细雨到黄昏点点滴滴	𛇯𛆒𛋫𛉿𛅿𛅷𛇼𛊨𛆙𛉸𛉸𛆒𛆒	78		0			
这次怎一个愁字了得	𛋔𛇠𛋩𛅰𛆅𛊝𛈤𛅹𛋀	78		0			
行路难行路难多歧路今安在	𛇐𛋗𛈷𛇐𛋗𛈷𛈁𛆦𛋗𛆭𛊃𛇥	79		0			
长风破浪会有时直挂云帆济沧海	𛈽𛋆𛉖𛋈𛋶𛈶𛆸𛋔𛋫𛉍𛊘𛉒𛉱𛉝	79		2			
海内存知己天涯若比邻	𛉝𛅺𛊶𛆍𛆺𛆤𛊢𛇁𛉎𛇇	79		2			
问渠那得清如许为有源头活水来	𛉟𛇂𛇾𛋀𛊭𛇄𛋱𛊄𛈶𛆧𛇊𛋶𛅸𛇤	80		2			
天生我材必有用千金散尽还复来	𛆤𛇏𛈻𛆏𛉎𛈶𛈍𛆉𛆭𛈗𛈯𛇐𛋷𛇤	80		2			
丈夫志四海万里犹比邻	𛊪𛆔𛊝𛈗𛉝𛈄𛉄𛊢𛉎𛇇	81		2			
大漠孤烟直长河落日圆	𛅻漠𛋰𛊫𛋔𛈽𛊕𛋝𛇈𛆧	81		1			
明日复明日明日何其多	𛇾𛇈𛋷𛇾𛇈𛇾𛇈𛇮𛊻𛈁	82		0			
我生待明日万事成失足	𛈻𛇏𛅻𛇾𛇈𛈄𛅵𛈒𛊼𛇭	82		0			
人生自古谁无死留取丹心照汗青	𛅳𛇏𛈤𛇰𛉅𛇯𛊅𛇋𛉛𛈁𛇹𛉓𛊧𛊭	83		2			
长风破浪会有时直挂云帆济沧海	𛈽𛋆𛉖𛋈𛋶𛈶𛆸𛋔𛉌𛉍𛊘𛉒𛉱𛉝	83		2			
博观而约取厚积而薄发	𛉖𛇕𛇈𛆴𛉛𛊪𛊈𛇈𛉖𛆐	84		2			
老骥伏枥志在千里	𛇽𛉓𛈩𛅹𛊝𛇥𛆉𛉄	84		2			
烈士暮年壮心不已	𛈥𛆹𛇀𛆥𛈉𛇺𛆳𛆱	84		2			
狮子眼鼓鼓摩菜子煮豆腐	𛊸𛆑𛋵𛇰𛇰𛋪𛈠𛆑𛆗𛋛𛆖	85		1			
酒放热些烧肉放烂些煮	𛊟𛈺𛈥𛇠𛊼𛈵𛈺𛋈𛇠𛆗	85		1			
远上寒山石径斜白云生处有人家	𛋟𛆈𛊨𛇏𛊍𛋳𛊝𛇪𛉍𛇏𛈫𛈶𛅳𛉊	86		2			
停车坐爱枫林晚霜叶红于二月花	𛊭𛊌𛇎𛋨𛋆𛇇𛆨𛈊𛆱𛉢𛆱𛅱𛇃𛈣	86		2			
独怜幽草涧边生上有黄鹂深树鸣	𛋥𛇇𛇁𛉤𛋆𛇙𛇏𛆈𛈶𛊨𛅹𛈛𛋙𛇾	87		2			
春潮带雨晚来急野渡无人舟自横	𛊌𛊻𛆒𛇯𛆨𛇤𛊐𛇩𛋥𛇯𛅳𛆝𛈤𛊄	87		0			
春花秋月何时了	𛊌𛈣𛉩𛇃𛇮𛆸𛅹	88		0			
往事知多少	𛉚𛅵𛆍𛈁𛆿	88		0			
小楼昨夜又东风故国不堪回首月明中	𛅿𛈰𛈱𛇩𛇁𛊚𛋆𛉘𛈅𛆳𛉲𛇳𛆞𛇃𛇾𛈌	88		0			
雕栏玉砌应犹在只是朱颜改	𛅾𛋂𛉚𛆻𛊉𛊢𛇥𛆑𛆹𛉙𛈕𛊿	88		0			
问君能有几多愁	𛉟𛊵𛈷𛈶𛆺𛈁𛊝	88		0			
恰似一江春水向东流	𛆞𛊝𛆼𛈌𛊌𛅸𛆈𛊚𛇋	88		1			
天门中断楚江开碧水东流至此回	𛆤𛇷𛈌𛋇𛉤𛈌𛇶𛆽𛅸𛊚𛇋𛊝𛇠𛇳	89		2			
两岸青山相对出孤帆一片日边来	𛆇𛈀𛊭𛇏𛉵𛆬𛈚𛋰𛊘𛆼𛇙𛇈𛇙𛇤	89		1			
京口瓜洲一水间钟山只隔数重山	𛋭𛇉𛉊𛆝𛆼𛅸𛆃𛈌𛇏𛆑𛈅𛉅𛈯𛇏	90		0			
春风又绿江南岸明月何时照我还	𛊌𛋆𛇁𛆽𛈌𛉺𛈀𛇾𛇃𛇮𛆸𛉓𛈻𛇐	90		0			
千山鸟飞绝万径人踪灭	𛆉𛇏𛋒𛆌𛋔𛈄𛊝𛅳𛈌𛋆	91		0			
孤舟蓑笠翁独钓寒江雪	𛋰𛆝𛊾𛇟𛇕𛋥𛅹𛊨𛈌𛊗	91		0			
国破山河在城春草木深	𛈅𛉖𛇏𛊕𛇥𛈒𛊌𛉤𛇀𛈛	92		0			
感时花溅泪恨别鸟惊心	𛊦𛆸𛈣𛇝𛇟𛊲𛊎𛋒𛋭𛇹	92		0			
烽火连三月家书抵万金	𛈮𛆕𛉹𛆊𛇃𛉊𛈬𛋒𛈄𛆭	92		0			
白头搔更短浑欲不胜簪	𛇪𛇊𛊜𛋫𛋇𛆙𛇄𛆳𛋐𛉾	92		0			
沉舟侧畔千帆过病树前头万木春	𛋳𛆝𛆹𛈀𛆉𛊘𛉘𛈐𛋙𛋋𛇊𛈄𛇀𛊌	93		2			
今日听君歌一曲暂凭杯酒长精神	𛆭𛇈𛇜𛊵𛋰𛆼𛆶𛇆𛋆𛇲𛊟𛇗𛋭𛋙	93		2			
好雨知时节当春乃发生	𛆚𛇯𛆍𛆸𛋓𛉰𛊌𛆍𛆐𛇏	95		2			
随风潜入夜润物细无声	𛉅𛋆𛋳𛇄𛇩𛇁𛇵𛅿𛇯𛉂	95		1			
野径云俱黑江船火独明	𛇩𛊝𛉍𛋔𛋚𛈌𛈒𛆕𛋥𛇾	95		1			
晓看红湿处花重锦官城	𛆿𛆣𛉢𛊗𛈫𛈣𛊪𛆻𛇕𛈒	95		1			
朝辞白帝彩云间千里江陵一日还	𛅾𛋳𛇪𛅹𛉝𛉍𛆃𛆉𛉄𛈌𛉹𛅰𛇈𛇐	96		2			
两岸猿声啼不住轻舟已过万重山	𛆇𛈀𛉍𛉂𛊹𛆳𛇭𛊯𛆝𛆱𛉘𛈄𛊪𛇏	96		2			
